
[Heuristic-DryRun] Track=05_Jazz2-187-F#_comp_mic.wav, Pass=2, Reason=Overtone of 47 (+19)
[Heuristic-DryRun] Track=05_Jazz2-187-F#_comp_mic.wav, Pass=2, Reason=Overtone of 47 (+19)
[Heuristic-DryRun] Track=05_Jazz2-187-F#_comp_mic.wav, Pass=2, Reason=Overtone of 47 (+19)
[Heuristic-DryRun] Track=05_Jazz2-187-F#_comp_mic.wav, Pass=2, Reason=Overtone of 45 (+19)
[Heuristic-DryRun] Track=05_Jazz2-187-F#_comp_mic.wav, Pass=2, Reason=Overtone of 45 (+19)
[Heuristic-DryRun] Track=05_Jazz2-187-F#_comp_mic.wav, Pass=2, Reason=Overtone of 44 (+19)
[Heuristic-DryRun] Track=05_Jazz2-187-F#_comp_mic.wav, Pass=2, Reason=Overtone of 43 (+19)
[Heuristic-DryRun] Track=05_Jazz2-187-F#_comp_mic.wav, Pass=2, Reason=Overtone of 43 (+19)
[Heuristic-DryRun] Track=05_Jazz2-187-F#_comp_mic.wav, Pass=2, Reason=Overtone of 42 (+19)
[Heuristic-DryRun] Track=05_Jazz2-187-F#_comp_mic.wav, Pass=2, Reason=Overtone of 47 (+19)
[Heuristic-DryRun] Track=05_Jazz2-187-F#_comp_mic.wav, Pass=2, Reason=Overtone of 47 (+19)
[Heuristic-DryRun] Track=05_Jazz2-187-F#_comp_mic.wav, Pass=2, Reason=Overtone of 47 (+19)
[Heuristic-DryRun] Track=05_Jazz2-187-F#_comp_mic.wav, Pass=2, Reason=Overtone of 45 (+19)
[Heuristic-DryRun] Track=05_Jazz2-187-F#_comp_mic.wav, Pass=2, Reason=Overtone of 45 (+19)
[Heuristic-DryRun] Track=05_Jazz2-187-F#_comp_mic.wav, Pass=2, Reason=Overtone of 43 (+19)
[Heuristic-DryRun] Track=05_Jazz2-187-F#_comp_mic.wav, Pass=2, Reason=Overtone of 42 (+19)
[Heuristic-DryRun] Track=00_SS1-68-E_comp_mic.wav, Pass=2, Reason=Overtone of 47 (+12)
[Heuristic-DryRun] Track=00_SS1-68-E_comp_mic.wav, Pass=2, Reason=Overtone of 64 (+12)
[Heuristic-DryRun] Track=00_SS1-68-E_comp_mic.wav, Pass=2, Reason=Overtone of 47 (+12)
[Heuristic-DryRun] Track=00_SS1-68-E_comp_mic.wav, Pass=2, Reason=Overtone of 40 (+12)
[Heuristic-DryRun] Track=00_SS1-68-E_comp_mic.wav, Pass=2, Reason=Overtone of 40 (+19)
[Heuristic-DryRun] Track=00_SS1-68-E_comp_mic.wav, Pass=2, Reason=Overtone of 59 (+12)
[Heuristic-DryRun] Track=00_SS1-68-E_comp_mic.wav, Pass=2, Reason=Overtone of 56 (+24)
[Heuristic-DryRun] Track=00_SS1-68-E_comp_mic.wav, Pass=2, Reason=Overtone of 52 (+12)
[Heuristic-DryRun] Track=00_SS1-68-E_comp_mic.wav, Pass=2, Reason=Overtone of 40 (+24)
[Heuristic-DryRun] Track=00_SS1-68-E_comp_mic.wav, Pass=2, Reason=Overtone of 40 (+12)
[Heuristic-DryRun] Track=00_SS1-68-E_comp_mic.wav, Pass=2, Reason=Overtone of 59 (+12)
[Heuristic-DryRun] Track=00_SS1-68-E_comp_mic.wav, Pass=2, Reason=Overtone of 59 (+12)
[Heuristic-DryRun] Track=00_SS1-68-E_comp_mic.wav, Pass=2, Reason=Overtone of 59 (+12)
[Heuristic-DryRun] Track=00_SS1-68-E_comp_mic.wav, Pass=2, Reason=Overtone of 45 (+12)
[Heuristic-DryRun] Track=00_SS1-68-E_comp_mic.wav, Pass=2, Reason=Overtone of 59 (+12)
[Heuristic-DryRun] Track=00_SS1-68-E_comp_mic.wav, Pass=2, Reason=Overtone of 57 (+12)
[Heuristic-DryRun] Track=00_SS1-68-E_comp_mic.wav, Pass=2, Reason=Overtone of 52 (+12)
[Heuristic-DryRun] Track=00_SS1-68-E_comp_mic.wav, Pass=2, Reason=Overtone of 57 (+12)
[Heuristic-DryRun] Track=00_SS1-68-E_comp_mic.wav, Pass=2, Reason=Overtone of 59 (+12)
[Heuristic-DryRun] Track=00_SS1-68-E_comp_mic.wav, Pass=2, Reason=Overtone of 40 (+12)
[Heuristic-DryRun] Track=00_SS1-68-E_comp_mic.wav, Pass=2, Reason=Overtone of 52 (+12)
[Heuristic-DryRun] Track=00_SS1-68-E_comp_mic.wav, Pass=2, Reason=Overtone of 59 (+12)
[Heuristic-DryRun] Track=00_SS1-68-E_comp_mic.wav, Pass=2, Reason=Overtone of 52 (+19)
[Heuristic-DryRun] Track=00_SS1-68-E_comp_mic.wav, Pass=2, Reason=Overtone of 47 (+12)
[Heuristic-DryRun] Track=00_SS1-68-E_comp_mic.wav, Pass=2, Reason=Overtone of 59 (+12)
[Heuristic-DryRun] Track=00_SS1-68-E_comp_mic.wav, Pass=2, Reason=Overtone of 59 (+12)
[Heuristic-DryRun] Track=00_SS1-68-E_comp_mic.wav, Pass=2, Reason=Overtone of 47 (+24)
[Heuristic-DryRun] Track=00_SS1-68-E_comp_mic.wav, Pass=2, Reason=Overtone of 59 (+12)
[Heuristic-DryRun] Track=00_SS1-68-E_comp_mic.wav, Pass=2, Reason=Overtone of 45 (+12)
[Heuristic-DryRun] Track=00_SS1-68-E_comp_mic.wav, Pass=2, Reason=Overtone of 45 (+24)
[Heuristic-DryRun] Track=00_SS1-68-E_comp_mic.wav, Pass=2, Reason=Overtone of 57 (+12)
[Heuristic-DryRun] Track=00_SS1-68-E_comp_mic.wav, Pass=2, Reason=Overtone of 57 (+12)
[Heuristic-DryRun] Track=00_SS1-68-E_comp_mic.wav, Pass=2, Reason=Overtone of 40 (+12)
[Heuristic-DryRun] Track=00_SS1-68-E_comp_mic.wav, Pass=2, Reason=Overtone of 47 (+12)
[Heuristic-DryRun] Track=03_BN1-147-Gb_comp_mic.wav, Pass=2, Reason=Overtone of 42 (+19)
[Heuristic-DryRun] Track=03_BN1-147-Gb_comp_mic.wav, Pass=2, Reason=Overtone of 42 (+19)
[Heuristic-DryRun] Track=03_BN1-147-Gb_comp_mic.wav, Pass=2, Reason=Overtone of 42 (+19)
[Heuristic-DryRun] Track=03_BN1-147-Gb_comp_mic.wav, Pass=2, Reason=Overtone of 42 (+19)
[Heuristic-DryRun] Track=03_BN1-147-Gb_comp_mic.wav, Pass=2, Reason=Overtone of 42 (+19)
[Heuristic-DryRun] Track=03_BN1-147-Gb_comp_mic.wav, Pass=2, Reason=Overtone of 42 (+19)
